,股票代码,公司名称,营业收入,净利润,净资产收益率(%)
310,000701,厦门信达,403亿,1.40亿,1.21
311,000692,惠天热电,18.30亿,5261万,3.75
312,000690,宝新能源,35.40亿,6.75亿,9.42
313,000567,海德股份,4443万,298万,1.36
314,000564,供销大集,145亿,7.08亿,6.82
315,000558,莱茵体育,38.00亿,2519万,1.95
316,000539,粤电力A,227亿,9.37亿,3.99
317,000876,新希望,609亿,24.69亿,12.19
318,000858,五粮液,245亿,67.85亿,15.01
319,600747,ST大控,4.46亿,-9846万,-4.93
320,600983,惠而浦,67.74亿,2.83亿,6.01
321,600482,中国动力,223亿,10.73亿,5.90
322,002004,华邦健康,70.93亿,5.67亿,5.90
323,600157,永泰能源,137亿,6.69亿,3.03
324,600149,ST坊展,1651万,-2479万,-12.63
325,600145,*ST新亿,1270万,-318万,-0.53
326,600139,西部资源,8.64亿,1157万,1.12
327,600701,*ST工新,16.51亿,1379万,0.81
328,600699,均胜电子,186亿,4.54亿,9.30
329,600088,中视传媒,5.15亿,-1.25亿,-11.51
330,600807,*ST天业,22.40亿,1.35亿,7.60
331,600806,退市昆机,6.46亿,-2.97亿,-62.07
332,600791,京能置业,7.62亿,4613万,3.07
333,600783,鲁信创投,1.86亿,3.73亿,10.41
334,600779,水井坊,11.76亿,2.25亿,16.29
335,600834,申通地铁,7.56亿,5194万,3.65
336,600339,中油工程,507亿,12.88亿,4.43
337,600759,洲际油气,12.06亿,4311万,0.79
338,600755,厦门国贸,981亿,10.43亿,11.76
339,000426,兴业矿业,8.66亿,8946万,3.12
340,000425,徐工机械,169亿,2.09亿,1.01
341,600686,金龙汽车,218亿,-7.19亿,-20.48
342,600677,航天通信,105亿,7472万,2.38
343,000996,中国中期,1.13亿,2049万,3.52
344,000995,*ST皇台,1.78亿,-1.27亿,-150.45
345,600421,ST仰帆,2818万,321万,44.28
346,600491,龙元建设,146亿,3.48亿,6.99
347,600967,内蒙一机,101亿,4.97亿,8.52
348,600960,渤海汽车,17.69亿,1.18亿,4.68
349,600543,莫高股份,2.12亿,2033万,1.85
350,600594,益佰制药,36.87亿,3.85亿,10.27
351,000100,TCL集团,1066亿,16.02亿,7.17
352,600674,川投能源,10.01亿,35.16亿,18.16
353,600671,天目药业,1.24亿,122万,2.11
354,600666,奥瑞德,14.79亿,4.65亿,19.82
355,600661,新南洋,13.90亿,1.83亿,21.01
356,600654,ST中安,34.34亿,2.47亿,8.56
357,600653,申华控股,87.44亿,6660万,2.99
358,600651,飞乐音响,71.78亿,3.51亿,10.29
359,600642,申能股份,278亿,24.61亿,10.09
360,600641,万业企业,31.88亿,7.18亿,17.77
361,600640,号百控股,56.65亿,2.07亿,5.25
362,600629,华建集团,45.51亿,2.41亿,27.71
363,600626,申达股份,86.75亿,1.94亿,8.11
364,600255,梦舟股份,51.42亿,1.92亿,5.77
365,600250,南纺股份,8.48亿,1719万,5.25
366,600247,*ST成城,8.05亿,-2.14亿,-245.32
367,600241,时代万恒,15.60亿,-7863万,-11.68
368,600237,铜峰电子,5.91亿,-2.10亿,-15.36
369,600074,*ST保千,41.14亿,7.99亿,30.00
370,600055,万东医疗,8.13亿,7154万,4.49
371,600053,九鼎投资,16.44亿,6.43亿,43.15
372,600000,浦发银行,1608亿,531亿,16.35
373,600515,海航基础,102亿,9.97亿,5.18
374,000408,藏格控股,26.03亿,9.12亿,21.56
375,000155,川化股份,20.14亿,9.00亿,-185.46
376,000078,海王生物,136亿,4.18亿,11.87
377,000066,中国长城,742亿,2.00亿,3.89
378,000046,泛海控股,247亿,31.09亿,18.17
379,002046,轴研科技,13.85亿,9562万,4.66
380,600429,三元股份,58.54亿,1.16亿,2.12
381,600432,退市吉恩,27.60亿,-21.86亿,-52.61
382,600487,亨通光电,193亿,13.16亿,25.16
383,600348,阳泉煤业,187亿,4.29亿,3.14
384,600485,信威集团,30.88亿,15.27亿,12.75
385,600546,山煤国际,492亿,3.08亿,7.90
386,600622,光大嘉宝,23.64亿,2.96亿,6.06
387,600617,国新能源,70.02亿,3.61亿,9.41
388,600613,神奇制药,15.98亿,1.82亿,7.84
389,600612,老凤祥,350亿,10.57亿,21.83
390,600609,金杯汽车,48.02亿,-2.08亿,-124.51
391,600601,方正科技,66.14亿,6553万,1.78
392,600587,新华医疗,83.64亿,3464万,1.07
393,600580,卧龙电气,89.14亿,2.53亿,4.99
394,000592,平潭发展,7.86亿,2028万,0.64
395,000589,黔轮胎A,55.87亿,1523万,0.43
396,000835,长城动漫,3.27亿,-8063万,-20.69
397,600509,天富能源,36.36亿,3.13亿,6.69
398,600496,精工钢构,60.71亿,1.10亿,3.00
399,600568,中珠医疗,10.99亿,2.94亿,2.24
400,600559,老白干酒,24.38亿,1.11亿,7.05
401,000933,神火股份,169亿,3.42亿,6.29
402,000917,电广传媒,74.86亿,3.33亿,3.07
403,600390,五矿资本,116亿,15.57亿,10.52
404,600356,恒丰纸业,13.60亿,9467万,4.81
405,600228,ST昌九,4.34亿,-3709万,-88.80
406,600208,新湖中宝,136亿,58.38亿,24.37
407,600207,安彩高科,18.71亿,954万,0.71
408,600201,生物股份,15.17亿,6.45亿,24.92
409,600193,*ST创兴,5736万,-1.28亿,-39.86
410,600191,华资实业,3667万,994万,0.44
411,600189,吉林森工,7.95亿,5022万,3.26
412,000009,中国宝安,64.50亿,2.33亿,5.20
413,000004,国农科技,2.88亿,3930万,38.84
414,600555,海航创新,3610万,-1.93亿,-11.57
415,600177,雅戈尔,149亿,36.85亿,16.68
416,000793,华闻传媒,45.71亿,8.73亿,9.52
417,600896,*ST海投,8.54亿,-4.59亿,-23.53
418,600895,张江高科,20.88亿,7.27亿,9.18
419,600894,广日股份,47.28亿,10.68亿,16.19
420,600827,百联股份,471亿,9.00亿,5.64
421,600825,新华传媒,15.25亿,4841万,1.88
422,600821,津劝业,2.72亿,-9877万,-17.82
423,600818,中路股份,6.81亿,9036万,16.76
424,600811,东方集团,63.43亿,7.62亿,4.91
425,603566,普莱柯,5.83亿,1.88亿,13.40
426,603232,格尔软件,2.32亿,5638万,20.63
427,603238,诺邦股份,5.26亿,5942万,16.71
428,603358,华达科技,27.25亿,2.91亿,25.42
429,601228,广州港,77.37亿,6.71亿,6.90
430,603177,德创环保,7.73亿,5376万,15.85
431,603080,新疆火炬,3.11亿,1.19亿,30.80
432,603055,台华新材,22.44亿,2.28亿,17.64
433,601108,财通证券,42.56亿,17.86亿,13.03
434,601969,海南矿业,9.08亿,-2.86亿,-6.88
435,601997,贵阳银行,102亿,36.54亿,21.67
436,603633,徕木股份,3.40亿,4954万,10.15
437,603203,快克股份,2.86亿,1.03亿,37.36
438,603858,步长制药,123亿,17.69亿,21.21
439,002785,万里石,8.73亿,2309万,3.61
