,code,name,income_2015,profit_2015,roe_2015(%),income_2016,profit_2016,roe_2016(%),income_2017,profit_2017,roe_2017(%)
235,002887,绿茵生态,5.87亿,1.17亿,24.89,6.85亿,1.72亿,27.19,6.96亿,1.78亿,16.11
236,002884,凌霄泵业,7.65亿,1.14亿,21.18,8.15亿,1.50亿,25.66,9.84亿,1.88亿,22.79
237,300675,建科院,2.81亿,2333万,9.2,3.46亿,3154万,11.51,3.82亿,3399万,11.33
238,603387,基蛋生物,2.76亿,1.05亿,49.9,3.69亿,1.38亿,43.15,4.89亿,1.94亿,28.7
239,603595,东尼电子,2.92亿,5659万,40.52,3.32亿,6344万,28.83,7.26亿,1.73亿,37.32
240,603757,大元泵业,6.37亿,6475万,30.88,7.67亿,1.23亿,43.49,11.23亿,1.79亿,31.65
241,603305,旭升股份,3.51亿,8050万,31.98,5.69亿,2.04亿,48.92,7.39亿,2.22亿,28.05
242,603730,岱美股份,23.25亿,3.17亿,29.34,27.43亿,4.45亿,33.02,32.47亿,5.82亿,26.81
243,603331,百达精工,4.76亿,3567万,12.67,5.49亿,5556万,16.96,7.28亿,6290万,12.17
244,001965,招商公路,45.85亿,32.81亿,13.01,50.53亿,29.39亿,10.76,53.41亿,33.68亿,8.64
245,603933,睿能科技,12.66亿,4844万,17.74,15.59亿,9342万,27.24,19.09亿,1.41亿,20.91
246,300671,富满电子,2.73亿,2771万,12.85,3.30亿,3846万,15.42,4.40亿,5883万,15.3
